id,companyid,category_id,Cat Name,sap_code,name,stock_qty
1,1100,1,GLS Bulb,1190121001,60W CLEAR B-22,1352
2,1100,1,GLS Bulb,1190111001,100W CLEAR B-22,698
3,1100,1,GLS Bulb,1190120001,60WÂ COLOR MIXED B-22,358
4,1100,1,GLS Bulb,1190141001,25W CLEAR B-22,354
5,1100,1,GLS Bulb,1190131001,40W CLEAR B-22,334
6,1100,1,GLS Bulb,1190111002,100W CLEAR E-27,330
7,1100,1,GLS Bulb,1190127001,60W CRYSTAL B-22,247
8,1100,1,GLS Bulb,1190121002,60W CLEAR E-27,236
9,1100,2,Tube,1190181010,SS Tube Light Daylight (T-8) 36W,236
10,1100,1,GLS Bulb,1190172201,5W CANDLE COLOR MIXED B-22,234
11,1100,1,GLS Bulb,1190172202,5W CANDLE COLOR MIXED E-27,228
12,1100,1,GLS Bulb,1190101001,200W CLEAR B-22,207
13,1100,1,GLS Bulb,1190161001,10W CLEAR B-22,200
14,1200,6,LED LEDLUX Bulb,1290260501,AC LED 05W DAYLIGHT BULB B22 LEDLUX SLIM,200
15,1200,6,LED LEDLUX Bulb,1290261001,AC LED 15W DAYLIGHT BULB B22 LEDLUX SLIM,200
16,1100,1,GLS Bulb,1190137001,40W CRYSTAL B-22,189
17,1100,1,GLS Bulb,1190117001,100W CRYSTAL B-22,178
18,1100,1,GLS Bulb,1190172101,5W ROUND COLOR MIXED B-22,166
19,1200,6,LED LEDLUX Bulb,1290261002,AC LED 15W DAYLIGHT BULB E27 LEDLUX SLIM,160
20,1500,4,Supreme - CFL,1590201001,15W DAYLIGHT SP 9MM B-22,153
21,1100,1,GLS Bulb,1190171101,05W CLEAR ROUND B-22,146
22,1100,1,GLS Bulb,1190141002,25W CLEAR E-27,144
23,1500,4,Supreme - CFL,1590151001,30W DAYLIGHT SP 12MM B-22,140
24,1100,1,GLS Bulb,1190151001,15W CLEAR B-22,134
25,1500,4,Supreme - CFL,1590161001,26W DAYLIGHT SP 12MM B-22,124
26,1200,6,LED LEDLUX Bulb,1290260502,AC LED 05W DAYLIGHT BULB E27 LEDLUX SLIM,122
27,1500,4,Supreme - CFL,1590211001,11W DAYLIGHT SP 9MM B-22,120
28,1500,4,Supreme - CFL,1590181001,20W DAYLIGHT SP 12MM B-22,117
29,1500,4,Supreme - CFL,1590165001,26W GREEN SP 12MM B-22,114
30,1500,4,Supreme - CFL,1590171001,23W DAYLIGHT SP 12MM B-22,107
31,1100,1,GLS Bulb,1190172102,5W ROUND COLOR MIXED E-27,100
32,1500,4,Supreme - CFL,1590141002,32W DAYLIGHT SP 12MM E-27,100
33,1500,4,Supreme - CFL,1590221001,9W DAYLIGHT SP 9MM B-22,100
34,1500,4,Supreme - CFL,1590241001,5W DAYLIGHT SP 9MM B-22,100
